id,name,brand,price,size,category,image_url
1001,Milk 2 Percent,Meadow Farms,3.49,1 gal,Dairy,https://dummyimage.com/600x400/ededed/333.png&text=Milk+2+Percent
1002,Milk 2 Percent,Great Valley,2.99,0.5 gal,Dairy,https://dummyimage.com/600x400/ededed/333.png&text=Milk+2+Percent
1003,Milk 2 Percent,Happy Cow,1.59,1 qt,Dairy,https://dummyimage.com/600x400/ededed/333.png&text=Milk+2+Percent
1004,Milk 2 Percent,Lakeview Dairy,4.19,1 gal,Dairy,https://dummyimage.com/600x400/ededed/333.png&text=Milk+2+Percent
1005,Milk 2 Percent,Daily Choice,3.29,0.75 gal,Dairy,https://dummyimage.com/600x400/ededed/333.png&text=Milk+2+Percent
1006,Eggs Large,Sunrise,2.49,12 ct,Dairy,https://dummyimage.com/600x400/ededed/333.png&text=Eggs+Large
1007,Eggs Large,Farm Fresh,4.79,18 ct,Dairy,https://dummyimage.com/600x400/ededed/333.png&text=Eggs+Large
1008,Eggs Large,Happy Hen,1.69,6 ct,Dairy,https://dummyimage.com/600x400/ededed/333.png&text=Eggs+Large
1009,Eggs Large,Pasture Gold,5.49,12 ct,Dairy,https://dummyimage.com/600x400/ededed/333.png&text=Eggs+Large
1010,Eggs Large,Everyday,3.19,12 ct,Dairy,https://dummyimage.com/600x400/ededed/333.png&text=Eggs+Large
1011,Banana,Premium,0.59,1 lb,Produce,https://dummyimage.com/600x400/ededed/333.png&text=Banana
1012,Banana,Tropical,1.09,2 lb,Produce,https://dummyimage.com/600x400/ededed/333.png&text=Banana
1013,Banana,Everyday,0.72,1.25 lb,Produce,https://dummyimage.com/600x400/ededed/333.png&text=Banana
1014,Banana,Green Valley,0.55,1 lb,Produce,https://dummyimage.com/600x400/ededed/333.png&text=Banana
1015,Banana,Market Basket,2.49,5 lb,Produce,https://dummyimage.com/600x400/ededed/333.png&text=Banana
1016,Apple Gala,Orchard Pride,1.99,1 lb,Produce,https://dummyimage.com/600x400/ededed/333.png&text=Apple+Gala
1017,Apple Gala,Mountain Mist,3.49,2 lb,Produce,https://dummyimage.com/600x400/ededed/333.png&text=Apple+Gala
1018,Apple Gala,Everyday,4.99,3 lb,Produce,https://dummyimage.com/600x400/ededed/333.png&text=Apple+Gala
1019,Apple Gala,Fresh Fields,0.99,0.75 lb,Produce,https://dummyimage.com/600x400/ededed/333.png&text=Apple+Gala
1020,Apple Gala,Harvest Lane,6.99,5 lb,Produce,https://dummyimage.com/600x400/ededed/333.png&text=Apple+Gala
1021,Bread Whole Wheat,Homestead,2.49,20 oz,Bakery,https://dummyimage.com/600x400/ededed/333.png&text=Bread+Whole+Wheat
1022,Bread Whole Wheat,Golden Crust,3.29,24 oz,Bakery,https://dummyimage.com/600x400/ededed/333.png&text=Bread+Whole+Wheat
1023,Bread Whole Wheat,Daily Loaf,1.99,18 oz,Bakery,https://dummyimage.com/600x400/ededed/333.png&text=Bread+Whole+Wheat
1024,Bread Whole Wheat,Artisan Mill,3.79,22 oz,Bakery,https://dummyimage.com/600x400/ededed/333.png&text=Bread+Whole+Wheat
1025,Bread Whole Wheat,Value Slice,1.49,16 oz,Bakery,https://dummyimage.com/600x400/ededed/333.png&text=Bread+Whole+Wheat
1026,Chicken Breast,Field Gate,6.99,1 lb,Meat,https://dummyimage.com/600x400/ededed/333.png&text=Chicken+Breast
1027,Chicken Breast,Butcher Best,12.99,2 lb,Meat,https://dummyimage.com/600x400/ededed/333.png&text=Chicken+Breast
1028,Chicken Breast,Lean Life,9.49,1.5 lb,Meat,https://dummyimage.com/600x400/ededed/333.png&text=Chicken+Breast
1029,Chicken Breast,Family Pack,18.99,3 lb,Meat,https://dummyimage.com/600x400/ededed/333.png&text=Chicken+Breast
1030,Chicken Breast,Everyday,5.49,0.8 lb,Meat,https://dummyimage.com/600x400/ededed/333.png&text=Chicken+Breast
1031,Ground Beef 80 20,Butcher Best,5.49,1 lb,Meat,https://dummyimage.com/600x400/ededed/333.png&text=Ground+Beef+80+20
1032,Ground Beef 80 20,Family Pack,19.99,4 lb,Meat,https://dummyimage.com/600x400/ededed/333.png&text=Ground+Beef+80+20
1033,Ground Beef 80 20,Prime Choice,6.29,1 lb,Meat,https://dummyimage.com/600x400/ededed/333.png&text=Ground+Beef+80+20
1034,Ground Beef 80 20,Value Kitchen,9.49,2 lb,Meat,https://dummyimage.com/600x400/ededed/333.png&text=Ground+Beef+80+20
1035,Ground Beef 80 20,Local Ranch,5.99,0.9 lb,Meat,https://dummyimage.com/600x400/ededed/333.png&text=Ground+Beef+80+20
1036,Greek Yogurt,Alpine,0.99,5.3 oz,Dairy,https://dummyimage.com/600x400/ededed/333.png&text=Greek+Yogurt
1037,Greek Yogurt,Valley Creamery,3.99,32 oz,Dairy,https://dummyimage.com/600x400/ededed/333.png&text=Greek+Yogurt
1038,Greek Yogurt,ProActive,4.99,40 oz,Dairy,https://dummyimage.com/600x400/ededed/333.png&text=Greek+Yogurt
1039,Greek Yogurt,Everyday,1.79,2 ct,Dairy,https://dummyimage.com/600x400/ededed/333.png&text=Greek+Yogurt
1040,Greek Yogurt,Protein Plus,1.29,6 oz,Dairy,https://dummyimage.com/600x400/ededed/333.png&text=Greek+Yogurt
1041,Orange Juice,Pure Press,3.49,59 oz,Beverages,https://dummyimage.com/600x400/ededed/333.png&text=Orange+Juice
1042,Orange Juice,Sunrise,4.99,89 oz,Beverages,https://dummyimage.com/600x400/ededed/333.png&text=Orange+Juice
1043,Orange Juice,No Pulp,2.29,52 oz,Beverages,https://dummyimage.com/600x400/ededed/333.png&text=Orange+Juice
1044,Orange Juice,With Pulp,1.49,12 oz,Beverages,https://dummyimage.com/600x400/ededed/333.png&text=Orange+Juice
1045,Orange Juice,Calcium Added,3.79,59 oz,Beverages,https://dummyimage.com/600x400/ededed/333.png&text=Orange+Juice
1046,Cheddar Cheese,Heritage,3.99,8 oz,Dairy,https://dummyimage.com/600x400/ededed/333.png&text=Cheddar+Cheese
1047,Cheddar Cheese,Block House,6.99,16 oz,Dairy,https://dummyimage.com/600x400/ededed/333.png&text=Cheddar+Cheese
1048,Cheddar Cheese,Shredded Mix,2.79,7 oz,Dairy,https://dummyimage.com/600x400/ededed/333.png&text=Cheddar+Cheese
1049,Cheddar Cheese,Sharp Reserve,4.49,10 oz,Dairy,https://dummyimage.com/600x400/ededed/333.png&text=Cheddar+Cheese
1050,Cheddar Cheese,Value Pack,7.49,24 oz,Dairy,https://dummyimage.com/600x400/ededed/333.png&text=Cheddar+Cheese
1051,Black Beans Canned,Pantry Pro,0.99,15 oz,Canned Goods,https://dummyimage.com/600x400/ededed/333.png&text=Black+Beans+Canned
1052,Black Beans Canned,Daily Pantry,0.79,15 oz,Canned Goods,https://dummyimage.com/600x400/ededed/333.png&text=Black+Beans+Canned
1053,Black Beans Canned,Organic Roots,1.49,15 oz,Canned Goods,https://dummyimage.com/600x400/ededed/333.png&text=Black+Beans+Canned
